Graph_y
Time (Seconds),y (Meters),y_dot (Meters/Seconds)
208.900009,-0.657978,-0.000019
208.949997,-0.657973,0.000111
209.000000,-0.657974,-0.000020
209.050003,-0.657978,-0.000093
209.100006,-0.657983,-0.000092
209.150009,-0.657983,0.0000072
209.199997,-0.657981,0.000031
209.250000,-0.657986,-0.000097
209.300003,-0.657995,-0.000191
209.350006,-0.657989,0.000137
209.400009,-0.657980,0.000168
209.449997,-0.657989,-0.000175
209.500000,-0.658048,-0.001189
209.550003,-0.658282,-0.004666
209.600006,-0.658742,-0.009210
209.650009,-0.659432,-0.013787
209.699997,-0.660461,-0.020583
209.750000,-0.661984,-0.030466
209.800003,-0.664118,-0.042677
209.850006,-0.666756,-0.052768
209.900009,-0.669856,-0.062003
209.949997,-0.673386,-0.070586
210.000000,-0.677283,-0.077947
210.050003,-0.681524,-0.084810
210.100006,-0.686032,-0.090176
210.150009,-0.690755,-0.094447
210.199997,-0.695580,-0.096507
210.250000,-0.700431,-0.097013
210.300003,-0.705303,-0.097450
210.350006,-0.710076,-0.095463
210.400009,-0.714664,-0.091753
210.449997,-0.719000,-0.086715
210.500000,-0.722990,-0.079805
210.550003,-0.726570,-0.071605
210.600006,-0.729634,-0.061281
210.650009,-0.731943,-0.046169
210.699997,-0.733180,-0.024748
210.750000,-0.733421,-0.004814
210.800003,-0.732760,0.013222
210.850006,-0.731260,0.029995
210.900009,-0.729057,0.044050
210.949997,-0.726224,0.056670
211.000000,-0.722864,0.067191
211.050003,-0.719065,0.075984
211.100006,-0.714926,0.082791
211.150009,-0.710506,0.088390
211.199997,-0.705850,0.093123
211.250000,-0.701029,0.096427
211.300003,-0.696109,0.098388
211.350006,-0.691131,0.099556
211.400009,-0.686140,0.099829
211.449997,-0.681179,0.099210
211.500000,-0.676269,0.098218
211.550003,-0.671460,0.096176
211.600006,-0.666791,0.093367
211.650009,-0.662762,0.080584
211.699997,-0.659882,0.057606
211.750000,-0.658211,0.033416
211.800003,-0.657633,0.011570
211.850006,-0.657570,0.001247
211.900009,-0.657542,0.000572
211.949997,-0.657502,0.000803
212.000000,-0.657480,0.000433
212.050003,-0.657479,0.000014
212.100006,-0.657481,-0.000027
212.150009,-0.657489,-0.000173
212.199997,-0.657489,0.000000
212.250000,-0.657487,0.000039
212.300003,-0.657484,0.000056
212.350006,-0.657481,0.000062
212.400009,-0.657497,-0.000312
212.449997,-0.657484,0.000259
212.500000,-0.657485,-0.000017
212.550003,-0.657491,-0.000116
212.600006,-0.657490,0.000019
212.650009,-0.657486,0.000070
212.699997,-0.657481,0.000110
212.750000,-0.657487,-0.000134
212.800003,-0.657492,-0.000087
212.850006,-0.657486,0.000120
212.900009,-0.657490,-0.000093
212.949997,-0.657494,-0.000064
213.000000,-0.657483,0.000203
213.050003,-0.657485,-0.000042
213.100006,-0.657490,-0.000082
213.150009,-0.657491,-0.000024
213.199997,-0.657495,-0.000088
213.250000,-0.657487,0.000155
213.300003,-0.657485,0.000055
213.350006,-0.657492,-0.000155
213.400009,-0.657518,-0.000517
213.449997,-0.657469,0.000991
213.500000,-0.657449,0.000399
213.550003,-0.657466,-0.000352
213.600006,-0.657471,-0.000082
213.650009,-0.657473,-0.000054
213.699997,-0.657469,0.000093
213.750000,-0.657469,-0.000017
213.800003,-0.657478,-0.000174
213.850006,-0.657474,0.000088
213.900009,-0.657468,0.000116
213.949997,-0.657476,-0.000172
214.000000,-0.657476,0.000019
214.050003,-0.657473,0.000056
214.100006,-0.657477,-0.000082
214.150009,-0.657478,-0.000018
214.199997,-0.657471,0.000137
214.250000,-0.657454,0.000336
214.300003,-0.657478,-0.000485
214.350006,-0.657427,0.001020
214.400009,-0.657437,-0.000199
214.449997,-0.657459,-0.000427
214.500000,-0.657443,0.000304
214.550003,-0.657466,-0.000454
214.600006,-0.657410,0.001123
214.650009,-0.657413,-0.000069
214.699997,-0.657438,-0.000486
214.750000,-0.657446,-0.000159
214.800003,-0.657427,0.000370
214.850006,-0.657434,-0.000132
214.900009,-0.657461,-0.000550
214.949997,-0.657407,0.001086
215.000000,-0.657384,0.000459
215.050003,-0.657400,-0.000315
215.100006,-0.657423,-0.000459
215.150009,-0.657400,0.000457
215.199997,-0.657360,0.000802
215.250000,-0.657375,-0.000296
215.300003,-0.657387,-0.000250
215.350006,-0.657385,0.000039
215.400009,-0.657383,0.000037
215.449997,-0.657393,-0.000190
215.500000,-0.657395,-0.000038
215.550003,-0.657384,0.000222
215.600006,-0.657384,-0.000014
215.650009,-0.657389,-0.000100
215.699997,-0.657385,0.000093
215.750000,-0.657387,-0.000050
215.800003,-0.657399,-0.000241
215.850006,-0.657392,0.000149
215.900009,-0.657397,-0.000111
215.949997,-0.657424,-0.000527
216.000000,-0.657369,0.001088
