Graph_roll
Time (Seconds),roll (Degrees),roll_dot (Degrees/Seconds)
203.199997,-165.697479,14.105599
203.250000,-165.488968,4.169986
203.300003,-165.847610,-7.172354
203.350006,-166.069092,-4.429244
203.400009,-166.060226,0.177028
203.449997,-165.884430,3.516767
203.500000,-165.975861,-1.828467
203.550003,-166.035370,-1.190019
203.600006,-166.058914,-0.470981
203.650009,-166.123215,-1.285636
203.699997,-166.050980,1.444801
203.750000,-166.092651,-0.833232
203.800003,-166.161072,-1.368413
203.850006,-166.115494,0.911638
203.900009,-166.100739,0.295046
203.949997,-166.039688,1.221263
204.000000,-166.065613,-0.518516
204.050003,-166.112518,-0.938137
204.100006,-166.067673,0.896886
204.150009,-166.120316,-1.052605
204.199997,-166.092941,0.547642
204.250000,-166.016907,1.520581
204.300003,-166.130310,-2.268031
204.350006,-166.204193,-1.477416
204.400009,-166.129074,1.502004
204.449997,-166.041885,1.744310
204.500000,-166.094162,-1.045502
204.550003,-166.086945,0.144518
204.600006,-166.047791,0.782965
204.650009,-166.029892,0.357880
204.699997,-166.076660,-0.935691
204.750000,-166.029037,0.952617
204.800003,-166.067200,-0.763295
204.850006,-166.079437,-0.244779
204.900009,-166.121475,-0.840608
204.949997,-166.058762,1.254602
205.000000,-166.079437,-0.413611
205.050003,-166.122299,-0.857000
205.100006,-166.146942,-0.492836
205.150009,-166.145905,0.020763
205.199997,-166.038300,2.152581
205.250000,-166.103394,-1.302028
205.300003,-166.133270,-0.597468
205.350006,-166.080429,1.056976
205.400009,-166.028885,1.030749
205.449997,-166.066071,-0.743853
205.500000,-166.054214,0.237130
205.550003,-166.108185,-1.079377
205.600006,-166.058090,1.001791
205.650009,-166.021484,0.732152
205.699997,-166.061676,-0.804246
205.750000,-166.057480,0.084143
205.800003,-166.161072,-2.071880
205.850006,-166.160568,0.010108
205.900009,-166.141174,0.387931
205.949997,-166.078857,1.246677
206.000000,-165.873962,4.097590
206.050003,-165.691956,3.639723
206.100006,-165.905121,-4.262871
206.150009,-166.022263,-2.342612
206.199997,-166.055817,-0.671435
206.250000,-166.036484,0.386565
206.300003,-166.111847,-1.506921
206.350006,-166.087448,0.487919
206.400009,-166.124664,-0.744445
206.449997,-166.073883,1.016034
206.500000,-166.046692,0.543650
206.550003,-166.043716,0.059556
206.600006,-166.106781,-1.261322
206.650009,-166.082123,0.493383
206.699997,-166.044327,0.755877
206.750000,-166.107925,-1.271704
206.800003,-166.099991,0.158451
206.850006,-166.024765,1.504462
206.900009,-166.104034,-1.585327
206.949997,-166.101013,0.060667
207.000000,-166.014847,1.723288
207.050003,-166.009903,0.098622
207.100006,-166.071091,-1.223622
207.150009,-165.921555,2.990621
207.199997,-165.946533,-0.499819
207.250000,-166.013229,-1.333718
207.300003,-166.047729,-0.690080
207.350006,-166.079208,-0.629432
207.400009,-165.874893,4.086116
207.449997,-165.855438,0.389143
207.500000,-166.057541,-4.041859
207.550003,-166.112701,-1.103145
207.600006,-166.069092,0.872025
207.650009,-166.042358,0.534635
207.699997,-166.000153,0.844418
207.750000,-166.067917,-1.355300
207.800003,-166.089981,-0.441203
207.850006,-166.096680,-0.133864
207.900009,-166.136383,-0.793893
207.949997,-166.067261,1.382495
208.000000,-166.168579,-2.025984
208.050003,-166.105835,1.254766
208.100006,-166.122421,-0.331654
208.150009,-166.067642,1.095495
208.199997,-166.078094,-0.209328
208.250000,-166.099442,-0.426724
208.300003,-166.082474,0.339303
208.350006,-166.133835,-1.027198
208.400009,-166.108002,0.516604
208.449997,-166.126465,-0.369467
208.500000,-166.314407,-3.758560
208.550003,-165.944183,7.404020
208.600006,-166.037140,-1.858791
208.650009,-166.235504,-3.967278
208.699997,-166.104691,2.616874
208.750000,-165.976685,2.560072
208.800003,-166.036163,-1.189473
208.850006,-166.153137,-2.339334
208.900009,-166.149948,0.063653
208.949997,-166.121887,0.561579
209.000000,-166.093887,0.559768
209.050003,-166.187622,-1.874636
209.100006,-166.235748,-0.962178
209.150009,-166.179886,1.117078
209.199997,-166.179672,0.004099
209.250000,-166.105286,1.487798
209.300003,-166.227341,-2.440961
209.350006,-166.180695,0.932947
209.400009,-166.093445,1.744870
209.449997,-166.125290,-0.637002
209.500000,-166.960876,-16.710814
209.550003,-167.972565,-20.232517
209.600006,-168.984680,-20.241259
209.650009,-169.740417,-15.113740
209.699997,-169.920319,-3.598749
209.750000,-169.947983,-0.553212
209.800003,-170.428467,-9.609217
209.850006,-170.806061,-7.551270
209.900009,-171.101593,-5.910485
209.949997,-171.442245,-6.814641
210.000000,-171.708588,-5.326676
210.050003,-172.113007,-8.087816
210.100006,-172.675812,-11.255465
210.150009,-173.265625,-11.795564
210.199997,-173.643890,-7.566965
210.250000,-173.397812,4.921261
210.300003,-173.709976,-6.242958
210.350006,-173.693802,0.323458
210.400009,-173.530441,3.267090
210.449997,-173.437805,1.853073
210.500000,-173.211563,4.524588
210.550003,-173.428680,-4.342096
210.600006,-174.024521,-11.916040
210.650009,-174.613617,-11.781084
210.699997,-172.074905,50.786388
210.750000,-169.654495,48.405331
210.800003,-0.731318,3378.257324
210.850006,-0.718954,0.247273
210.900009,-0.706759,0.243895
210.949997,-0.694808,0.239069
211.000000,-0.682474,0.246664
211.050003,-0.669529,0.258885
211.100006,-0.656605,0.258460
211.150009,-0.643808,0.255927
211.199997,-0.631250,0.251231
211.250000,-0.618997,0.245033
211.300003,-0.606732,0.245291
211.350006,-0.594444,0.245750
211.400009,-0.582533,0.238195
211.449997,-0.571065,0.229429
211.500000,-0.559309,0.235093
211.550003,-0.548357,0.219027
211.600006,-0.539423,0.178682
211.650009,-0.556852,-0.348570
211.699997,-0.594910,-0.761336
211.750000,-0.642355,-0.948850
211.800003,-0.668028,-0.513425
211.850006,-0.683915,-0.317716
211.900009,-0.690713,-0.135962
211.949997,-0.691547,-0.016674
212.000000,-0.691281,0.005306
212.050003,-0.691502,-0.004420
212.100006,-0.691660,-0.003160
212.150009,-0.692088,-0.008545
212.199997,-0.692040,0.000958
212.250000,-0.691925,0.002299
212.300003,-0.691743,0.003637
212.350006,-0.691680,0.001252
212.400009,-0.692467,-0.015728
212.449997,-0.691715,0.015031
212.500000,-0.691760,-0.000891
212.550003,-0.692068,-0.006165
212.600006,-0.691998,0.001412
212.650009,-0.691708,0.005786
212.699997,-0.691489,0.004396
212.750000,-0.691876,-0.007755
212.800003,-0.692115,-0.004782
212.850006,-0.691813,0.006051
212.900009,-0.692068,-0.005099
212.949997,-0.692223,-0.003096
213.000000,-0.691662,0.011205
213.050003,-0.691756,-0.001876
213.100006,-0.691943,-0.003735
213.150009,-0.692038,-0.001894
213.199997,-0.692183,-0.002911
213.250000,-0.691567,0.012326
213.300003,-0.691502,0.001302
213.350006,-0.692001,-0.009986
213.400009,-0.694401,-0.047988
213.449997,-0.691890,0.050216
213.500000,-0.690874,0.020332
213.550003,-0.691788,-0.018288
213.600006,-0.691995,-0.004128
213.650009,-0.692153,-0.003166
213.699997,-0.691882,0.005411
213.750000,-0.691894,-0.000235
213.800003,-0.692344,-0.009006
213.850006,-0.692094,0.005018
213.900009,-0.691744,0.006990
213.949997,-0.692249,-0.010104
214.000000,-0.692122,0.002548
214.050003,-0.691952,0.003390
214.100006,-0.692165,-0.004256
214.150009,-0.692190,-0.000507
214.199997,-0.691794,0.007928
214.250000,-0.691604,0.003807
214.300003,-0.693254,-0.032998
214.350006,-0.690801,0.049042
214.400009,-0.691289,-0.009755
214.449997,-0.692391,-0.022040
214.500000,-0.687717,0.093475
214.550003,-0.693664,-0.118944
214.600006,-0.690990,0.053478
214.650009,-0.691149,-0.003180
214.699997,-0.692397,-0.024962
214.750000,-0.692881,-0.009672
214.800003,-0.691872,0.020167
214.850006,-0.692233,-0.007217
214.900009,-0.694716,-0.049658
214.949997,-0.692038,0.053574
215.000000,-0.690830,0.024174
